epoch,accuracy,loss,val_accuracy,val_loss
0,0.038998816162347794,6.999486446380615,0.03821989521384239,6.954848766326904
1,0.03926059976220131,6.91774320602417,0.03821989521384239,6.941073894500732
2,0.03878793120384216,6.895763397216797,0.03821989521384239,6.922972679138184
3,0.038998816162347794,6.8757548332214355,0.03926701471209526,6.90902042388916
4,0.041667576879262924,6.860206127166748,0.04473531246185303,6.842849254608154
5,0.04721597954630852,6.771509647369385,0.04752763360738754,6.807796955108643
6,0.05220445618033409,6.717401504516602,0.050203606486320496,6.756201267242432
7,0.0549386627972126,6.663093090057373,0.052763234823942184,6.716979503631592
8,0.06119970604777336,6.607515335083008,0.056835368275642395,6.6765241622924805
9,0.06593366712331772,6.551764488220215,0.0599767304956913,6.646075248718262
10,0.07079851627349854,6.505941867828369,0.062361836433410645,6.6247453689575195
11,0.07402721047401428,6.465858459472656,0.06614310294389725,6.605413436889648
12,0.07772129774093628,6.428821086883545,0.06928446888923645,6.585931301116943
13,0.08036824315786362,6.3933024406433105,0.06992437690496445,6.57472038269043
14,0.08271704614162445,6.364601135253906,0.07242582738399506,6.566883563995361
15,0.08508039265871048,6.33494234085083,0.07242582738399506,6.5686211585998535
16,0.08702196925878525,6.307228088378906,0.07120418548583984,6.562444686889648
17,0.08925441652536392,6.279477119445801,0.07434555143117905,6.563422679901123
18,0.09138506650924683,6.252544403076172,0.07498545944690704,6.558250427246094
19,0.09365387260913849,6.224597454071045,0.07486911118030548,6.5634636878967285
