epoch,accuracy,loss,val_accuracy,val_loss
0,0.03888973593711853,6.988157749176025,0.03821989521384239,6.9362077713012695
1,0.04343463107943535,6.802875518798828,0.04810936748981476,6.780808448791504
2,0.053637005388736725,6.673465251922607,0.057126235216856,6.666993141174316
3,0.06398481875658035,6.558432579040527,0.06369982659816742,6.595892906188965
4,0.07231833040714264,6.465838432312012,0.07004071772098541,6.555575370788574
5,0.07933564484119415,6.3925299644470215,0.07225131243467331,6.525140285491943
6,0.08414959907531738,6.333531856536865,0.0735311210155487,6.505944728851318
7,0.08767643570899963,6.281683444976807,0.0745200663805008,6.49155855178833
8,0.09152323007583618,6.235934734344482,0.07620709389448166,6.490053176879883
9,0.0942138060927391,6.1927490234375,0.07696335017681122,6.488924980163574
10,0.09732615202665329,6.15432596206665,0.07713787257671356,6.4872145652771
11,0.10094024986028671,6.117061614990234,0.07643979042768478,6.487767696380615
12,0.10416166484355927,6.083762168884277,0.07475276291370392,6.499110221862793
13,0.10597962141036987,6.047127723693848,0.07731238752603531,6.499258041381836
14,0.108648382127285,6.016363143920898,0.07771960645914078,6.4964118003845215
15,0.1108081191778183,5.984194278717041,0.07597440481185913,6.501349449157715
